LSXPHOTO000004004,2019-11-20 7:13:01,13,12.7,10,10
DYKZ0000000009133,2019-11-20 7:18:00,12,4.6,3090,16
DYKZ0000000009131,2019-11-20 7:26:00,11.9,6.1,3191,19
DYKZ0000000009137,2019-11-20 7:27:01,12.1,2.7,3168,19
LSXPHOTO000004007,2019-11-20 7:29:00,12.9,3.9,11,11
LSXPHOTO000004008,2019-11-20 7:29:00,12.9,4.9,10,10
LSXPHOTO000004021,2019-11-20 7:36:00,12.9,5.6,11,10
LSXPHOTO000004002,2019-11-20 7:38:01,12.9,6.1,10,10
LSXPHOTO000004004,2019-11-20 7:43:01,13,12.7,10,10
DYKZ0000000009133,2019-11-20 7:48:00,12,4.4,3090,16
DYKZ0000000009131,2019-11-20 7:56:00,11.9,6.4,3191,19
DYKZ0000000009137,2019-11-20 7:57:01,12,2.4,3168,19
LSXPHOTO000004008,2019-11-20 7:59:00,12.9,4.9,10,10
LSXPHOTO000004007,2019-11-20 7:59:01,12.9,3.9,11,11
LSXPHOTO000004021,2019-11-20 8:06:01,12.9,5.6,12,11
LSXPHOTO000004002,2019-11-20 8:08:01,12.7,7.8,11,11
LSXPHOTO000004011,2019-11-20 8:11:01,12.9,6.1,11,11
LSXPHOTO000004004,2019-11-20 8:13:01,13,12.7,11,11
DYKZ0000000009133,2019-11-20 8:18:00,11.8,6.4,3091,17
DYKZ0000000009131,2019-11-20 8:26:01,11.9,6.1,3192,20
DYKZ0000000009137,2019-11-20 8:27:01,11.8,5.1,3169,20
LSXPHOTO000004008,2019-11-20 8:29:00,12.9,5.1,11,11
LSXPHOTO000004021,2019-11-20 8:36:01,12.9,6.1,12,11
LSXPHOTO000004011,2019-11-20 8:41:01,12.9,6.6,11,11
DYKZ0000000009133,2019-11-20 8:48:00,11.9,7.8,3091,17
DYKZ0000000009131,2019-11-20 8:56:00,11.9,8.3,3192,20
LSXPHOTO000004007,2019-11-20 8:59:00,12.8,5.1,12,12
LSXPHOTO000004008,2019-11-20 8:59:01,12.9,5.6,11,11
DYKZ0000000009137,2019-11-20 9:01:00,12.7,6.1,3170,1
LSXPHOTO000004021,2019-11-20 9:06:00,12.9,6.8,13,12
LSXPHOTO000004002,2019-11-20 9:08:00,12.9,8.3,12,12
LSXPHOTO000004011,2019-11-20 9:11:01,12.9,7.3,12,12
DYKZ0000000009133,2019-11-20 9:18:00,12.2,9,3092,18
